

[4]:22 6 27 周一 10:10:04
XRPUSDT
样本数:500 总匹配量:500 百分比:1
prev_weight:4, max_weight:3, price_weight:3, close_weight:3, volume_weight:2, need_weight:35, similar_range:0.1, similar_val:0.005, need_count:150, RATE_DELTA:0.05, E_DELTA:0.0001, 
优质数:220	正确率:62.273%	交易期望:0.101%
18364 num:9835 	2-e涨幅:0.026% e涨率:57.917% 	False:-0.942%
18364 num:9835 	3-e涨幅:0.037% e涨率:59.08% 	False:-0.618%
18365 num:4935 	1-e涨幅:0.024% e涨率:56.88% 	False:-0.609%
18365 num:4935 	2-e涨幅:0.039% e涨率:59.619% 	False:-0.286%
18365 num:4935 	3-e涨幅:0.057% e涨率:60.456% 	False:-0.437%
18366 num:1189 	1-e涨幅:0.032% e涨率:59.342% 	True:0.324%
18366 num:1189 	2-e涨幅:0.066% e涨率:61.821% 	True:0.172%
18366 num:1189 	3-e涨幅:0.055% e涨率:57.953% 	True:0.234%
18367 num:2900 	3-e涨幅:0.034% e涨率:58.713% 	True:0.058%
18372 num:6418 	2-e涨幅:0.023% e涨率:57.928% 	False:-0.111%
18372 num:6418 	3-e涨幅:0.03% e涨率:59.238% 	True:0.179%
18373 num:4116 	1-e涨幅:0.02% e涨率:55.697% 	True:0.109%
18373 num:4116 	2-e涨幅:0.042% e涨率:59.474% 	True:0.398%
18373 num:4116 	3-e涨幅:0.062% e涨率:60.919% 	True:0.41%
18374 num:6928 	2-e涨幅:0.017% e涨率:56.93% 	True:0.301%
18374 num:6928 	3-e涨幅:0.027% e涨率:58.771% 	True:0.486%
18380 num:15382 	3-e涨幅:0.015% e涨率:56.42% 	False:-0.262%
18381 num:13253 	2-e涨幅:0.014% e涨率:55.769% 	False:-0.191%
18381 num:13253 	3-e涨幅:0.019% e涨率:56.618% 	False:-0.227%
18382 num:12216 	3-e涨幅:0.019% e涨率:57.054% 	True:0.048%
